State,Start,End,Run time
sODS_FEED_PL_SV,2018/03/03 03:50:58,2018/03/03 03:55:22,0:4:24
sODS_FEED_SV,2018/03/03 03:50:58,2018/03/03 04:01:28,0:10:30
sODS_FEED_VAR_COM,2018/03/03 03:50:58,2018/03/03 03:53:56,0:2:58
sODS_FEED_VAR_SCN,2018/03/03 03:50:58,2018/03/03 03:52:46,0:1:48
sODS_FEED_XG,2018/03/03 03:50:58,2018/03/03 03:57:11,0:6:13
sODS_FEED_TAYLOR_COM,2018/03/03 03:50:59,2018/03/03 03:58:36,0:7:37
sODS_FEED_TAYLOR_CRD,2018/03/03 03:50:59,2018/03/03 04:07:22,0:16:23
sODS_FEED_TAYLOR_CURR,2018/03/03 03:50:59,2018/03/03 04:08:44,0:17:45
sODS_FEED_TAYLOR_IRD,2018/03/03 03:50:59,2018/03/03 04:04:05,0:13:6
sODS_SQL,2018/03/03 04:54:16,2018/03/03 05:17:46,0:23:30
sODS_SQL_UPDATE,2018/03/03 04:54:16,2018/03/03 05:05:48,0:11:32
sUPDATE_STATISTICS,2018/03/03 04:54:16,2018/03/03 05:17:46,0:23:30
sODS_UPD_CS,2018/03/03 04:54:16,2018/03/03 04:54:16,0:0:0
sODS_UPD_CS_FUT,2018/03/03 04:54:16,2018/03/03 04:54:16,0:0:0
sODS_UPD_DT,2018/03/03 04:54:16,2018/03/03 05:05:22,0:11:6
sODS_UPD_DT_SV,2018/03/03 04:54:16,2018/03/03 04:54:16,0:0:0
sODS_UPD_MV,2018/03/03 04:54:16,2018/03/03 05:05:48,0:11:32
sODS_UPD_PL,2018/03/03 04:54:16,2018/03/03 05:05:35,0:11:19
sODS_UPD_PL_SV,2018/03/03 04:54:16,2018/03/03 05:05:38,0:11:22
sODS_UPD_SV,2018/03/03 04:54:16,2018/03/03 04:57:56,0:3:40
sODS_UPD_XG,2018/03/03 04:54:16,2018/03/03 04:54:32,0:0:16
sODS_VALIDATE_INTEGRITY,2018/03/03 05:17:46,2018/03/03 05:17:53,0:0:7
sWORKFLOW_RESET,2018/03/03 05:17:53,2018/03/03 05:17:53,0:0:0
sBACKUP,2018/03/03 05:17:53,2018/03/03 05:17:54,0:0:1
sMARKER_END,2018/03/03 05:17:54,2018/03/03 05:18:14,0:0:20
sEMAIL_END,2018/03/03 05:18:14,2018/03/03 05:18:14,0:0:0
State,Start,End,Run time
sEOD_LIVE,2018/03/06 01:41:38,2018/03/06 06:50:07,5:8:29
sEMAIL_START,2018/03/06 01:41:38,2018/03/06 01:41:38,0:0:0
sMARKER_START,2018/03/06 01:41:38,2018/03/06 01:42:02,0:0:24
sCHECK_DATE,2018/03/06 01:42:02,2018/03/06 01:42:02,0:0:0
sDATE_INIT,2018/03/06 01:42:02,2018/03/06 01:45:33,0:3:31
sSTG_WAIT_COMPTA_PLCOMP,2018/03/06 01:45:33,2018/03/06 02:06:24,0:20:51
sSTG_TRUNCATE,2018/03/06 02:06:24,2018/03/06 02:06:27,0:0:3
sSTG_DROP_INDEX,2018/03/06 02:06:27,2018/03/06 02:06:27,0:0:0
sSTG_FEED_MAIN,2018/03/06 02:06:27,2018/03/06 05:11:17,3:4:50
sSTG_FEED_MISC_ALL,2018/03/06 02:06:28,2018/03/06 03:11:50,1:5:22
sSTG_FEED_COM_RISK_SPEC_ALL,2018/03/06 02:06:28,2018/03/06 03:02:10,0:55:42
sSTG_FEED_MISC_MAIN,2018/03/06 02:06:28,2018/03/06 03:11:50,1:5:22
sSTG_FEED_COM_RISK_SPEC_MAIN,2018/03/06 02:06:28,2018/03/06 03:02:10,0:55:42
sSTG_FEED_MISC,2018/03/06 02:06:28,2018/03/06 03:11:41,1:5:13
sSTG_FEED_CS_ALL,2018/03/06 02:06:28,2018/03/06 04:02:16,1:55:48
sSTG_FEED_MISC_MAIN2,2018/03/06 02:06:28,2018/03/06 03:03:34,0:57:6
sSTG_FEED_CS_MAIN,2018/03/06 02:06:28,2018/03/06 03:59:12,1:52:44
sSTG_FEED_MISC_2A,2018/03/06 02:06:28,2018/03/06 02:57:27,0:50:59
sSTG_FEED_DT_ALL,2018/03/06 02:06:28,2018/03/06 03:54:17,1:47:49
sSTG_FEED_DT_MAIN,2018/03/06 02:06:28,2018/03/06 03:53:42,1:47:14
sSTG_FEED_CS_OM,2018/03/06 02:06:28,2018/03/06 03:59:12,1:52:44
