EOD Date,State,Start,End,Run time
20180214,sSTG_FEED_DTSEC,2018/02/14 03:51:32,2018/02/14 04:10:31,0:18:59
20180214,sSTG_FEED_RTNBD,2018/02/14 03:51:32,2018/02/14 03:52:51,0:1:19
20180214,sSTG_VALIDATE_INTEGRITY,2018/02/14 04:10:31,2018/03/21 23:28:45,0:0:0
EOD Date,State,Start,End,Run time
20180214,sEOD_LIVE,2018/02/14 04:30:12,2018/03/21 23:28:45,0:0:0
20180214,sSTG_FEED_MAIN,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_MISC_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_COM_RISK_SPEC_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_MISC_MAIN,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_CS_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_CS_MAIN,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_MISC_MAIN2,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_DT_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_DT_MAIN,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_FX_RISK_SPEC_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_IRD_RISK_SPEC_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_PL_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_PL_MAIN,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_PL_SV_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_PL_SV_MAIN,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_MV_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_MV_MAIN,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_SV_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_SV_MAIN,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_SV_CS1_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_XG_ALL,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_VAR,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sSTG_FEED_VAR_STRESS_TEST,2018/02/14 04:30:12,2018/02/14 04:30:12,0:0:0
20180214,sLAUNCH_MASTER_LAUNCHER,2018/02/14 04:30:12,2018/02/14 04:30:13,0:0:1
20180214,sSTG_FEED_PARSER_FUNCTION,2018/02/14 04:30:13,2018/02/14 04:48:45,0:18:32
20180214,sSTG_FEED_CVPRC,2018/02/14 04:30:13,2018/02/14 04:33:04,0:2:51
20180214,sSTG_FEED_CVSPT,2018/02/14 04:30:13,2018/02/14 04:31:05,0:0:52
20180214,sSTG_FEED_DTSEC,2018/02/14 04:30:13,2018/02/14 04:48:45,0:18:32
20180214,sSTG_FEED_RTNBD,2018/02/14 04:30:13,2018/02/14 04:31:06,0:0:53
20180214,sSTG_VALIDATE_INTEGRITY,2018/02/14 04:48:45,2018/03/21 23:28:45,0:0:0
EOD Date,State,Start,End,Run time
20180214,sEOD_LIVE,2018/02/14 05:48:28,2018/02/14 07:04:02,1:15:34
20180214,sSTG_FEED_MAIN,2018/02/14 05:48:28,2018/02/14 05:48:29,0:0:1
20180214,sSTG_FEED_MISC_ALL,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_MISC_MAIN,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_COM_RISK_SPEC_ALL,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_CS_ALL,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_CS_MAIN,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_MISC_MAIN2,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_DT_ALL,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_DT_MAIN,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_FX_RISK_SPEC_ALL,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_IRD_RISK_SPEC_ALL,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_PL_ALL,2018/02/14 05:48:28,2018/02/14 05:48:29,0:0:1
20180214,sSTG_FEED_PL_MAIN,2018/02/14 05:48:28,2018/02/14 05:48:29,0:0:1
20180214,sSTG_FEED_PL_SV_ALL,2018/02/14 05:48:28,2018/02/14 05:48:29,0:0:1
20180214,sSTG_FEED_PL_SV_MAIN,2018/02/14 05:48:28,2018/02/14 05:48:29,0:0:1
20180214,sSTG_FEED_MV_ALL,2018/02/14 05:48:28,2018/02/14 05:48:29,0:0:1
20180214,sSTG_FEED_MV_MAIN,2018/02/14 05:48:28,2018/02/14 05:48:29,0:0:1
20180214,sSTG_FEED_SV_ALL,2018/02/14 05:48:28,2018/02/14 05:48:29,0:0:1
20180214,sSTG_FEED_SV_MAIN,2018/02/14 05:48:28,2018/02/14 05:48:29,0:0:1
20180214,sSTG_FEED_SV_CS1_ALL,2018/02/14 05:48:28,2018/02/14 05:48:28,0:0:0
20180214,sSTG_FEED_XG_ALL,2018/02/14 05:48:29,2018/02/14 05:48:29,0:0:0
20180214,sSTG_FEED_VAR,2018/02/14 05:48:29,2018/02/14 05:48:29,0:0:0
20180214,sSTG_FEED_VAR_STRESS_TEST,2018/02/14 05:48:29,2018/02/14 05:48:29,0:0:0
20180214,sSTG_FEED_PARSER_FUNCTION,2018/02/14 05:48:29,2018/02/14 05:48:29,0:0:0
20180214,sODS_TRUNCATE,2018/02/14 05:48:29,2018/02/14 05:48:31,0:0:2
20180214,sODS_DROP_INDEX,2018/02/14 05:48:31,2018/02/14 05:48:31,0:0:0
20180214,sODS_FEED_ALL,2018/02/14 05:48:31,2018/02/14 06:40:03,0:51:32
20180214,sODS_FEED_COMRISK_SPEC,2018/02/14 05:48:31,2018/02/14 05:51:09,0:2:38
20180214,sODS_FEED_CRDRISK_SPEC,2018/02/14 05:48:31,2018/02/14 05:49:31,0:1:0
20180214,sODS_FEED_CS,2018/02/14 05:48:31,2018/02/14 06:40:03,0:51:32
20180214,sODS_FEED_CS_FUT_L,2018/02/14 05:48:31,2018/02/14 05:49:31,0:1:0
20180214,sODS_FEED_CS_EVAL,2018/02/14 05:48:31,2018/02/14 05:51:49,0:3:18
20180214,sODS_FEED_DT,2018/02/14 05:48:31,2018/02/14 06:19:58,0:31:27
20180214,sODS_FEED_DT_SV,2018/02/14 05:48:31,2018/02/14 06:03:57,0:15:26
20180214,sODS_FEED_FXRISK_SPEC,2018/02/14 05:48:31,2018/02/14 05:50:27,0:1:56
20180214,sODS_FEED_IRDRISK,2018/02/14 05:48:31,2018/02/14 05:50:49,0:2:18
20180214,sODS_FEED_IRDRISK_SPEC,2018/02/14 05:48:31,2018/02/14 05:51:41,0:3:10
20180214,sODS_FEED_MV_DETAIL,2018/02/14 05:48:31,2018/02/14 06:17:10,0:28:39
20180214,sODS_FEED_PL,2018/02/14 05:48:31,2018/02/14 06:03:51,0:15:20
20180214,sODS_FEED_PL_HS,2018/02/14 05:48:32,2018/02/14 05:51:53,0:3:21
20180214,sODS_FEED_PL_SV,2018/02/14 05:48:32,2018/02/14 05:53:03,0:4:31
20180214,sODS_FEED_SV,2018/02/14 05:48:32,2018/02/14 05:56:21,0:7:49
20180214,sODS_FEED_VAR_COM,2018/02/14 05:48:32,2018/02/14 05:50:10,0:1:38
